iter	MultiClass
0	1.047003075
1	1.005414599
2	0.9725376597
3	0.9459254423
4	0.923504842
5	0.9053989776
6	0.8899355433
7	0.8770898201
8	0.866165644
9	0.8571265267
10	0.8496760607
11	0.8430290015
12	0.8380662677
13	0.8332312011
14	0.829115074
15	0.8255752851
16	0.8227016251
17	0.8200046974
18	0.8182224354
19	0.8157269454
20	0.8140368339
21	0.8125848046
22	0.811204444
23	0.8102962606
24	0.8092197013
25	0.8081703068
26	0.8074082565
27	0.8064183958
28	0.80569138
29	0.8052544089
30	0.804560981
31	0.8038032929
32	0.803272289
33	0.8025790452
34	0.802008709
35	0.8015876037
36	0.8012502755
37	0.8008125417
38	0.80049387
39	0.8002350064
40	0.7996924149
41	0.7990744628
42	0.7987481206
43	0.7982695699
44	0.7977138496
45	0.7971903362
46	0.7966303701
47	0.7962850006
48	0.7959299491
49	0.7954178199
50	0.7951915513
51	0.7948335646
52	0.7945800866
53	0.7939238138
54	0.7937935118
55	0.7933420565
56	0.7929612619
57	0.7924838842
58	0.7921728246
59	0.7919460062
60	0.7916033965
61	0.7913015414
62	0.7908937814
63	0.7905953898
64	0.7903253967
65	0.789919081
66	0.7895537256
67	0.7893067636
68	0.7889405182
69	0.7885949522
70	0.7881939921
71	0.7879809474
72	0.7877058463
73	0.787378474
74	0.7869899603
75	0.7866778592
76	0.7864526945
77	0.7862196525
78	0.7860870966
79	0.7859355455
80	0.7856883854
81	0.7854024312
82	0.7851434446
83	0.7849413446
84	0.7843259667
85	0.7840057545
86	0.7836467268
87	0.7833847824
88	0.7831690847
89	0.7827757037
90	0.7823729611
91	0.7819880862
92	0.7817582295
93	0.7812187362
94	0.7809817573
95	0.780683388
96	0.7803187311
97	0.7799776558
98	0.7795708382
99	0.7791226822
100	0.778916867
101	0.7787199713
102	0.7786249214
103	0.7780567516
104	0.7772971964
105	0.7770676019
106	0.776559851
107	0.7762877937
108	0.7755697739
109	0.7753042368
110	0.7749413765
111	0.7743717871
112	0.77404235
113	0.7735468175
114	0.773324641
115	0.7730590995
116	0.7726820049
117	0.7722432937
118	0.7717458707
119	0.7714708844
120	0.7709774942
121	0.7707078421
122	0.7705351418
123	0.770266429
124	0.7701655783
125	0.7700229109
126	0.7695870059
127	0.7691442977
128	0.7687088749
129	0.7683217861
130	0.7682054254
131	0.7678823404
132	0.7676790438
133	0.7674419192
134	0.7669181882
135	0.7665865818
136	0.7660429155
137	0.7655881671
138	0.7652463625
139	0.764955558
140	0.7646605506
141	0.7642907382
142	0.7638701908
143	0.7635264949
144	0.7628996542
145	0.7626232347
146	0.7623719926
147	0.7621659467
148	0.761803268
149	0.7613552048
150	0.7611810765
151	0.7606857683
152	0.7602493536
153	0.759885652
154	0.7596412001
155	0.7592520698
156	0.7587514279
157	0.7584489177
158	0.7578384554
159	0.7574995607
160	0.7570820856
161	0.7566158573
162	0.7562264676
163	0.7558620799
164	0.7552859326
165	0.7551639796
166	0.7547557375
167	0.7545098119
168	0.7543055604
169	0.7541252402
170	0.753812241
171	0.753485861
172	0.753082622
173	0.7528149984
174	0.7525081893
175	0.7521218921
176	0.7516383809
177	0.7514598967
178	0.7512259563
179	0.751005046
180	0.7507527565
181	0.7505573113
182	0.7502891606
183	0.7500324899
184	0.7495823813
185	0.7492476638
186	0.7488775446
187	0.74853723
188	0.7479984496
189	0.7477802019
190	0.7475585774
191	0.7470600831
192	0.7468556832
193	0.7466604296
194	0.7460493492
195	0.7457994058
196	0.7455054721
197	0.7454327818
198	0.7451460299
199	0.7449298996
200	0.7444236699
201	0.7440357511
202	0.7437858157
203	0.7434334141
204	0.743092171
205	0.7429051503
206	0.7424262213
207	0.7421859938
208	0.7419920732
209	0.7417006295
210	0.7413890753
211	0.7412694895
212	0.7407578417
213	0.7406100998
214	0.7403985025
215	0.7400038394
216	0.7396208008
217	0.7391527469
218	0.738893393
219	0.7387321075
220	0.7384273794
221	0.7382478698
222	0.7379147677
223	0.737686047
224	0.7374803616
225	0.7371756599
226	0.7369242159
227	0.73671368
228	0.7364678655
229	0.7361181501
230	0.7359948538
231	0.7357252461
232	0.735484008
233	0.7352634515
234	0.7347378821
