iter	Passed	Remaining
0	12	12421
1	22	11136
2	33	10968
3	43	10815
4	52	10542
5	62	10363
6	72	10336
7	85	10612
8	98	10804
9	108	10756
10	118	10677
11	129	10622
12	138	10541
13	148	10485
14	159	10469
15	169	10444
16	179	10377
17	190	10381
18	199	10317
19	209	10284
20	219	10246
21	229	10221
22	239	10181
23	249	10149
24	259	10132
25	269	10110
26	280	10096
27	289	10061
28	296	9941
29	306	9894
30	316	9880
31	326	9874
32	336	9850
33	345	9828
34	355	9812
35	365	9796
36	375	9774
37	385	9749
38	394	9722
39	404	9697
40	413	9676
41	423	9667
42	433	9651
43	443	9631
44	453	9614
45	462	9590
46	471	9567
47	481	9542
48	490	9522
49	500	9504
50	509	9484
51	519	9465
52	528	9452
53	538	9441
54	549	9434
55	560	9443
56	569	9421
57	578	9400
58	588	9380
59	597	9359
60	607	9344
61	616	9324
62	626	9310
63	635	9294
64	644	9276
65	656	9289
66	666	9278
67	675	9262
68	687	9271
69	696	9256
70	706	9240
71	715	9226
72	725	9209
73	734	9196
74	744	9184
75	754	9168
76	763	9151
77	772	9129
78	781	9114
79	791	9107
80	801	9091
81	810	9077
82	820	9061
83	829	9047
84	839	9040
85	849	9027
86	859	9015
87	868	9003
88	880	9010
89	892	9019
90	901	9006
91	911	8992
92	920	8976
93	930	8968
94	940	8955
95	949	8940
96	959	8933
97	969	8923
98	979	8912
99	989	8903
100	1000	8906
101	1012	8916
102	1023	8909
103	1032	8898
104	1042	8888
105	1052	8875
106	1061	8861
107	1071	8850
108	1081	8840
109	1090	8825
110	1100	8813
111	1110	8802
112	1119	8790
113	1129	8780
114	1139	8769
115	1150	8764
116	1159	8753
117	1169	8740
118	1178	8726
119	1189	8723
120	1200	8718
121	1212	8729
122	1227	8749
123	1239	8756
124	1248	8741
125	1258	8730
126	1268	8716
127	1277	8706
128	1287	8693
129	1296	8679
130	1306	8667
131	1316	8656
132	1329	8667
133	1341	8672
134	1352	8664
135	1362	8652
136	1371	8640
137	1381	8627
138	1390	8615
139	1400	8604
140	1417	8638
141	1428	8630
142	1438	8620
143	1448	8607
144	1457	8597
145	1467	8585
146	1477	8572
147	1486	8557
148	1496	8549
149	1508	8548
150	1519	8542
151	1529	8530
152	1538	8516
153	1548	8504
154	1557	8490
155	1566	8475
156	1576	8463
157	1585	8448
158	1595	8440
159	1605	8430
160	1615	8417
161	1625	8406
162	1634	8393
163	1644	8382
164	1655	8378
165	1665	8367
166	1675	8355
167	1684	8342
168	1694	8330
169	1704	8320
170	1713	8307
171	1723	8296
172	1733	8286
173	1743	8278
174	1753	8265
175	1763	8254
176	1772	8243
177	1782	8230
178	1792	8223
179	1803	8215
180	1816	8217
181	1827	8213
182	1838	8206
183	1847	8193
184	1857	8182
185	1867	8170
186	1876	8158
187	1886	8147
188	1896	8138
189	1906	8127
190	1916	8115
191	1926	8105
192	1935	8092
193	1945	8082
194	1955	8071
195	1965	8060
196	1975	8051
197	1984	8037
198	1994	8026
199	2003	8014
200	2013	8003
201	2023	7992
202	2032	7980
203	2042	7968
204	2051	7957
205	2061	7944
206	2071	7936
207	2081	7924
208	2090	7912
209	2100	7903
210	2110	7891
211	2119	7878
212	2130	7871
213	2140	7861
214	2150	7850
215	2159	7839
216	2169	7827
217	2178	7816
218	2189	7807
219	2200	7800
220	2217	7815
221	2232	7823
222	2247	7830
223	2259	7826
224	2271	7822
225	2282	7817
226	2294	7813
227	2305	7807
228	2321	7815
229	2335	7817
230	2348	7818
231	2367	7837
232	2382	7842
233	2395	7842
234	2405	7830
235	2416	7821
236	2425	7808
237	2435	7798
238	2446	7789
239	2456	7777
240	2467	7770
241	2477	7758
242	2487	7748
243	2498	7742
244	2508	7730
245	2518	7719
246	2529	7711
247	2538	7698
248	2549	7689
249	2559	7679
250	2569	7667
251	2581	7662
252	2593	7656
253	2602	7643
254	2613	7635
255	2624	7626
256	2634	7615
257	2644	7606
258	2654	7594
259	2667	7590
260	2678	7583
261	2688	7572
262	2698	7561
263	2708	7552
264	2718	7540
265	2731	7536
266	2741	7526
267	2751	7514
268	2762	7506
269	2772	7496
270	2782	7484
271	2793	7477
272	2803	7466
273	2813	7455
274	2825	7448
275	2835	7437
276	2845	7427
277	2856	7418
278	2866	7407
279	2876	7397
280	2887	7388
281	2897	7376
282	2907	7367
283	2917	7354
284	2928	7347
285	2939	7339
286	2949	7327
287	2960	7319
288	2971	7309
289	2980	7297
290	2991	7288
291	3001	7277
292	3011	7266
293	3022	7258
294	3032	7247
295	3042	7237
296	3054	7229
297	3064	7219
298	3075	7210
299	3086	7202
300	3096	7190
301	3106	7180
302	3120	7177
303	3130	7167
304	3140	7156
305	3150	7145
306	3160	7133
307	3170	7123
308	3180	7112
309	3190	7102
